Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,Options.PrimarySynthesizer,text,eloq,Options section defines profile defaults. Must match short name defined in JFW.ini
,Options.PrimaryLanguage,text,*,must match first three letters of a language specific section. Use * to match JAWS UI language
,Options.Factory,Binary,1,Set to 1 to disallow modification by user.
displayName,enu-Global.DisplayName,text,Global,"Context sections format is three letter language abbreviation followed by a dash, followed by a context name."
rate,enu-Global.Rate,"range(40,150)",57,
pitch,enu-Global.Pitch,"range(1,100)",65,
volume,enu-Global.Volume,"range(0,100)",100,
punctuationVerbosity,enu-Global.Punctuation,"range(0,3)",2,
spellRateDelta,enu-Global.SpellRateDelta,Integer,-20,
upperCasePitchDelta,enu-Global.UpperCasePitchDelta,Integer,20,
,enu-Global.Parent,text,None,
,enu-Global.VoiceName,text,Reed,
,enu-Global.SynthLangString,text,American English,
,enu-JAWSCursor.DisplayName,text,JAWS Cursor,
,enu-JAWSCursor.Rate,"range(40,150)",57,
,enu-JAWSCursor.Pitch,"range(1,100)",58,
,enu-JAWSCursor.Volume,"range(0,100)",100,
,enu-JAWSCursor.Punctuation,"range(0,3)",2,
,enu-JAWSCursor.SpellRateDelta,Integer,-20,
,enu-JAWSCursor.UpperCasePitchDelta,Integer,20,
,enu-JAWSCursor.Parent,text,Global,
,enu-JAWSCursor.VoiceName,text,Glen,
,enu-JAWSCursor.SynthLangString,text,American English,
,enu-Keyboard.DisplayName,text,Keyboard,
,enu-Keyboard.Rate,"range(40,150)",57,
,enu-Keyboard.Pitch,"range(1,100)",65,
,enu-Keyboard.Volume,"range(0,100)",100,
,enu-Keyboard.Punctuation,"range(0,3)",2,
,enu-Keyboard.SpellRateDelta,Integer,-20,
,enu-Keyboard.UpperCasePitchDelta,Integer,20,
,enu-Keyboard.Parent,text,Global,
,enu-Keyboard.VoiceName,text,Reed,
,enu-Keyboard.SynthLangString,text,American English,
,enu-MenuAndDialog.DisplayName,text,Menu and Dialog,
,enu-MenuAndDialog.Rate,"range(40,150)",57,
,enu-MenuAndDialog.Pitch,"range(1,100)",65,
,enu-MenuAndDialog.Volume,"range(0,100)",100,
,enu-MenuAndDialog.Punctuation,"range(0,3)",2,
,enu-MenuAndDialog.SpellRateDelta,Integer,-20,
,enu-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,enu-MenuAndDialog.Parent,text,Global,
,enu-MenuAndDialog.VoiceName,text,Reed,
,enu-MenuAndDialog.SynthLangString,text,American English,
,enu-Message.DisplayName,text,Message,
,enu-Message.Rate,"range(40,150)",57,
,enu-Message.Pitch,"range(1,100)",60,
,enu-Message.Volume,"range(0,100)",100,
,enu-Message.Punctuation,"range(0,3)",0,
,enu-Message.SpellRateDelta,Integer,-20,
,enu-Message.UpperCasePitchDelta,Integer,20,
,enu-Message.Parent,text,Global,
,enu-Message.VoiceName,text,Reed,
,enu-Message.SynthLangString,text,American English,
,enu-PCCursor.DisplayName,text,PC Cursor,
,enu-PCCursor.Rate,"range(40,150)",57,
,enu-PCCursor.Pitch,"range(1,100)",65,
,enu-PCCursor.Volume,"range(0,100)",100,
,enu-PCCursor.Punctuation,"range(0,3)",2,
,enu-PCCursor.SpellRateDelta,Integer,-20,
,enu-PCCursor.UpperCasePitchDelta,Integer,20,
,enu-PCCursor.Parent,text,Global,
,enu-PCCursor.VoiceName,text,Reed,
,enu-PCCursor.SynthLangString,text,American English,
,eng-Global.DisplayName,text,Global,
,eng-Global.Rate,"range(40,150)",57,
,eng-Global.Pitch,"range(1,100)",65,
,eng-Global.Volume,"range(0,100)",100,
,eng-Global.Punctuation,"range(0,3)",2,
,eng-Global.SpellRateDelta,Integer,-20,
,eng-Global.UpperCasePitchDelta,Integer,20,
,eng-Global.Parent,text,None,
,eng-Global.VoiceName,text,Reed,
,eng-Global.SynthLangString,text,British English,
,eng-JAWSCursor.DisplayName,text,JAWS Cursor,
,eng-JAWSCursor.Rate,"range(40,150)",57,
,eng-JAWSCursor.Pitch,"range(1,100)",58,
,eng-JAWSCursor.Volume,"range(0,100)",100,
,eng-JAWSCursor.Punctuation,"range(0,3)",2,
,eng-JAWSCursor.SpellRateDelta,Integer,-20,
,eng-JAWSCursor.UpperCasePitchDelta,Integer,20,
,eng-JAWSCursor.Parent,text,Global,
,eng-JAWSCursor.VoiceName,text,Glen,
,eng-JAWSCursor.SynthLangString,text,British English,
,eng-Keyboard.DisplayName,text,Keyboard,
,eng-Keyboard.Rate,"range(40,150)",57,
,eng-Keyboard.Pitch,"range(1,100)",65,
,eng-Keyboard.Volume,"range(0,100)",100,
,eng-Keyboard.Punctuation,"range(0,3)",2,
,eng-Keyboard.SpellRateDelta,Integer,-20,
,eng-Keyboard.UpperCasePitchDelta,Integer,20,
,eng-Keyboard.Parent,text,Global,
,eng-Keyboard.VoiceName,text,Reed,
