AT,Category,Setting Name,Value Type/Range,Description
NVDA,General Settings,Language,Combo box,"This is a combo box which allows you to select the language that NVDA's user interface and messages should be shown in. There are many languages, however the default option is ""User Default, Windows"". This option tells NVDA to use the language that Windows is currently set to."
NVDA,General Settings,Save Configuration on exit,Checkbox,"This option is a checkbox that, when checked, tells NVDA to automatically save the current configuration when you exit NVDA."
NVDA,General Settings,Show exit options when exiting NVDA,Checkbox,"This option is a checkbox that allows you to choose whether or not a dialog appears when you exit NVDA that asks what action you want to perform. When checked, a dialog will appear when you attempt to exit NVDA asking whether you want to exit, restart or restart with add-ons disabled. When unchecked, NVDA will exit immediately."
NVDA,General Settings,Play sounds when starting or exiting NVDA,Checkbox,"This option is a checkbox that, when checked, tells NVDA to play sounds when it starts or exits."
NVDA,General Settings,Logging level,Combo box,"This is a combo box that permits you to choose how much NVDA will log as it's running. Generally users should not need to touch this as not too much is logged. However if you are wanting to provide information in a bug report, then it may be a useful option."
NVDA,General Settings,Automatically start NVDA after I log on to Windows,,"If this option is enabled, NVDA will start automatically as soon as you log on to Windows. This option is only available for installed copies of NVDA."
NVDA,General Settings,Use NVDA on the Windows Logon screen (requires administrator privileges),,"If you log on to Windows by providing a user name and password, then enabling this option will make NVDA start automatically at the logon screen when Windows starts. This option is only available for installed copies of NVDA."
NVDA,General Settings,Use currently saved settings on the logon and other secure screens (requires administrator privileges),On-Off button,"Pressing this button copies your currently saved NVDA user configuration to NVDA's system configuration directory, so that NVDA will use it when running on the logon, User Account Control (UAC) and other secure Windows screens. To make sure that all your settings are transferred, make sure to save your configuration first with control+NVDA+c or Save configuration in the NVDA menu. This option is only available for installed copies of NVDA."
NVDA,General Settings,Automatically check for updates to NVDA,,"If this is enabled, NVDA will automatically check for updated versions of NVDA and inform you when an update is available. You can also manually check for updates by selecting Check for updates under Help in the NVDA menu."
NVDA,Synthesizer Selection,Synthesizer,,"This option allows you to choose the synthesizer you wish NVDA to use for speech output. For a list of the Synthesizers that NVDA supports, please see the Supported Speech Synthesizers section. One special item that will always appear in this list is ""No speech"", which allows you to use NVDA with no speech output what so ever. This may be useful for someone who wishes to only use NVDA with Braille, or perhaps to sighted developers who only wish to use the Speech Viewer."
NVDA,Synthesizer Selection,Output device,,This option allows you to choose the sound card that NVDA should instruct the selected synthesizer to speak through.
NVDA,Synthesizer Selection,Audio Ducking Mode,"   No Ducking: NVDA will never lower the volume of other audio.
    Duck when outputting speech and sounds: NVDA will only lower the volume of other audio when NVDA is speaking or playing sounds. This may not work for all synthesizers.
    Always duck: NVDA will keep the volume of other audio lower the whole time NVDA is running. ","On Windows 8 and above, this option allows you to choose if NVDA should lower the volume of other applications while NVDA is speaking, or all the time while NVDA is running."
NVDA,Voice Settings,Voice,Combo box,"The first option that you land on in this dialog is a combo box listing all the voices of the current synthesizer that you have installed. You can use the arrow keys to listen to all the various choices. Left and Up arrow take you up in the list, while right and down arrow move you down in the list."
NVDA,Voice Settings,Variant,Combo box,"If you are using the Espeak synthesizer that is packaged with NVDA, this is a combo box that lets you select the Variant the synthesizer should speak with. ESpeak's Variants are rather like voices, as they provide slightly different attributes to the eSpeak voice. Some variants will sound like a male, some like a female, and some even like a frog."
NVDA,Voice Settings,Rate,Slider 0 to 100,"This option allows you to change the rate of your voice. This is a slider that goes from 0 to 100, (0 being the slowest, 100 being the fastest)."
