AT,Category,Setting Name,Value Type/Range,Description,
 ZoomText - Preferences,Program Preferences,Start ZoomText automatically,,ZoomText will automatically run each time you start your system.,
 ZoomText - Preferences,Program Preferences,Run ZoomText minimized,,The ZoomText user interface is minimized when ZoomText is started.,
 ZoomText - Preferences,Program Preferences,Display a ZoomText icon,,Displays the ZoomText desktop icon.,
 ZoomText - Preferences,Program Preferences,Start ZoomText from a shortcut key,,"Enables ZoomText to be started by pressing a shortcut key. The box to the right provides a space for you to define (type) the keyboard shortcut for starting or switching to ZoomText. Shortcut keys consist of a two modifier keys (any combination of CTRL, ALT, and SHIFT), and a primary key (any letter, number or symbol).  For example, to define the ZoomText shortcut key as CTRL + SHIFT + Z, select the Shortcut key field, and then press CTRL, SHIFT and Z simultaneously. Note:   When Start ZoomText from a shortcut key is enabled, no other program can use the defined shortcut key.",
 ZoomText - Preferences,Program Preferences,Save ZoomText settings automatically,,All ZoomText settings are saved to the active configuration when the program exits.,
 ZoomText - Preferences,Program Preferences,Prompt before exiting ZoomText,,You are prompted to confirm your choice to exit the program.,
 ZoomText - Preferences,Program Preferences,Check for online updates,,"Each time you start ZoomText, if an Internet connection is established, ZoomText will check the Ai Squared website for available program updates. If updates are available, the Update Wizard will give you the option to download and install the updates.",
 ZoomText - Preferences,Program Preferences,Report ZoomText errors to Ai Squared,,"When a ZoomText program error occurs, an error report is transmitted to Ai Squared via the Internet (if an active Internet connection exists). No personal information is included in the error report.",
 ZoomText - Preferences,Program Preferences,Enable Windows logon support,,"Enables ZoomText's magnification and screen reading support in the Windows logon screen.   The ZoomText logon toolbar is also displayed allowing you to adjust the magnification level, invert the screen colors, and turn screen reading on and off.  ",
 ZoomText - Preferences,Use Interface Preferences,Always on top,,"The ZoomText user interface window will remain on top of all other windows, even when ZoomText is not the active application.",
 ZoomText - Preferences,Use Interface Preferences,Restore toolbar after using tool,,The ZoomText toolbar is always restored when exiting a ZoomText tool.,
 ZoomText - Preferences,Use Interface Preferences,Display the status bar,,"Displays the name of the active application and informs you when ZoomText's reading tools, reading zones and application settings are available to be used.",
 ZoomText - Preferences,Use Interface Preferences,Highlight toolbar buttons,,"When the mouse moves over buttons on ZoomText's toolbar, the buttons are highlighted.",
 ZoomText - Preferences,Use Interface Preferences,Color,,Selects the color for button highlighting.,
 ZoomText - Preferences,Use Interface Preferences,Display taskbar button and tray icon,,"When ZoomText is running, its taskbar button and tray icon are both displayed.",
 ZoomText - Preferences,Use Interface Preferences,Display tray icon only,,"When ZoomText is running, only its system tray icon is displayed.",
 ZoomText - Preferences,Use Interface Preferences,Language,,Selects the language that the ZoomText user interface will appear in. Note:   This option is not available in English only versions.,
 ZoomText - Preferences,Windows Preferences,Disable font smoothing,,"Disables Windows font smoothing option, allowing ZoomText to display the highest quality of magnified text. When Windows font smoothing is enabled, some of ZoomText magnified text may be degraded.  This Windows font smoothing option can also be enable and disabled in Windows Appearance Settings dialog. To access these settings, in the Windows Control Panel, select Personalization Window Color and Appearance. Note:   When selecting this option and clicking the OK button, you will be prompted to restart your system. Restarting the system insures that font smoothing has been disabled in all applications.",
 ZoomText - Preferences,Windows Preferences,"When starting ZoomText, prompt if smoothing is enabled",,"When you start ZoomText, if the Windows font smoothing option is enabled ZoomText will prompt you with the option to disable font smoothing.  Note:   If you choose to disable font smoothing you will be prompted to restart your system.",
ZoomText - Hotkeys,Hotkey Dialog Box,Hotkey Group,,Selects a group of related hotkeys. The hotkeys in the selected group appear in the Hotkey Command list.,
ZoomText - Hotkeys,Hotkey Dialog Box,Hotkey Command,,"Displays a list of all hotkeys in the selected hotkey group. When a hotkey is highlighted, its primary and modifier keys are displayed.",
ZoomText - Hotkeys,Hotkey Dialog Box,Primary Key,,"Sets the primary key for the highlighted hotkey command. Any key in the drop down list can be selected, including mouse buttons.",
ZoomText - Hotkeys,Hotkey Dialog Box,Modifier Keys,,Sets the modifier keys for the highlighted hotkey command. One or more modifier keys must be selected.,
ZoomText - Hotkeys,Hotkey Dialog Box,Disable Hotkey,,"Disables a hotkey command from functioning. When a hotkey is disabled, the primary and modifier keys are grayed out. Click on the Enable Hotkey button to re-enable the hotkey.",
ZoomText - Hotkeys,Hotkey Dialog Box,Restore Defaults,,Restores all hotkeys to their original settings.,
ZoomText - Hotkeys,Hotkey Dialog Box,Configuration File,,"Displays the name of the configuration file associated with a Load Configuration hotkey. For more information, see Chapter 8 - ""Configuration Files.""",
ZoomText - Hotkeys,Hotkey Dialog Box,Browse.,,"Displays the Select Configuration dialog box, which lists the existing configuration files.   A configuration file can be assigned to a Load Configuration hotkey by selecting the desired file and choosing OK.",
ZoomText - Screen Reading Features,Speech Settings,Rate,,Speech rate allows you to control how fast ZoomText speaks in words per minute (SAPI 4 synthesizers) or in percentage of the synthesizer's range (SAPI 5 synthesizers).,
ZoomText - Screen Reading Features,Reader Toolbar,Rate,,Controls how fast ZoomText speaks.,
ZoomText - Screen Reading Features,Reader Toolbar,Typing,,Selects typing echo settings. Typing echo provides immediate feedback of the keys and words that you type. Settings are specified in the Typing Echo dialog box.,
ZoomText - Screen Reading Features,Reader Toolbar,Mouse,,Selects mouse echo settings. Mouse echo automatically reads text beneath the pointer. Settings are specified in the Mouse Echo dialog box.,
ZoomText - Screen Reading Features,Reader Toolbar,Verbosity,,Selects a verbosity level. Verbosity allows you to adjust the amount of information spoken when a program item receives focus. Settings are specified in the Verbosity dialog box.,
ZoomText - Screen Reading Features,Speech Settings,Adjusting the Speech Rate,,Speech rate allows you to control how fast ZoomText speaks in words per minute (SAPI 4 synthesizers) or in percentage of the synthesizer's range (SAPI 5 synthesizers).,
ZoomText - Screen Reading Features,Speech Settings,Synthesizer Tab - Enable speech output,,Enables or disables speech output for screen reading.,
ZoomText - Screen Reading Features,Speech Settings,Synthesizer Tab - Rate,,"Controls how fast ZoomText speaks. When using a SAPI 4 speech synthesizer, rate is represented in words per minute. When using a SAPI 5 speech synthesizer, rate is represented in percentage of the synthesizer's range, where 0% is the slowest rate and 100% is the fastest rate.",
ZoomText - Screen Reading Features,Speech Settings,Synthesizer Tab - Pitch,,"Selects the pitch of the current voice. Pitches range from 5% to 100%, in steps of 5%.",
ZoomText - Screen Reading Features,Speech Settings,Synthesizer Tab - Volume,,"Selects the volume of the current voice. Volumes range from 5% to 100%, in steps of 5%.",
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak mixed case as separate words,,"Breaks mixed case words into separate words for more accurate pronunciation by the speech synthesizer. For example, the word 'ZoomText' is broken apart and spoken as ""Zoom Text"".",
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Filter out repeated characters,,Limits the number of times that repeated characters are spoken. This is useful when encountering a string of repeated characters used in formatting.,
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Repeat Count,,Sets the maximum number of times a repeated character is spoken. The repeat count range is from 2 to 10.,
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak numbers according to synthesizer settings,,Numbers are spoken according to the synthesizer's built in settings.,
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak numbers using their full word representation,,"Numbers are spoken using their full-word representation. For example, the number '1995' is spoken ""one thousand nine hundred and ninety five"".",
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak numbers as single digits,,"Numbers are spoken as individual digits. For example, the number '1995' is spoken ""one nine nine five"".",
ZoomText - Screen Reading Features,Speech Settings,Text Processing - Speak numbers as digit pairs,,"Numbers are spoken as digit pairs. For example, the number '1995' is spoken ""nineteen ninety five"".",
