Property,PSPath,PSParentPath,PSChildName,PSDrive,PSProvider,PSIsContainer,SubKeyCount,View,Handle,ValueCount,Name
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility","ATs","HKLM","Microsoft.PowerShell.Core\Registry","True","27","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\animations","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","animations","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\animations"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\audiodescription","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","audiodescription","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\audiodescription"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\caretbrowsing","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","caretbrowsing","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\caretbrowsing"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\caretwidth","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","caretwidth","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\caretwidth"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\cursorscheme","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","cursorscheme","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\cursorscheme"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\filterkeys","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","filterkeys","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\filterkeys"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\focusborderheight","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","focusborderheight","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\focusborderheight"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\focusborderwidth","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","focusborderwidth","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\focusborderwidth"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\highcontrast","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs","highcontrast","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","4","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Accessibility\ATs\highcontrast"
